ą,ɔ̃ w̃
demonstratorka,d ɛ̃ m ɔ̃ w̃ s t r a ˈ t ɔ r k a
demonstrowanie,d ɛ̃ m ɔ̃ w̃ s t r ɔ ˈ v ã ɲ ɛ
demonstrować,d ɛ̃ m ɔ̃ w̃ ˈ s t r ɔ v a t͡ɕ
demontaż,d ɛ̃ ˈ m ɔ̃ n t a ʂ
demontowanie,d ɛ̃ m ɔ̃ n t ɔ ˈ v ã ɲ ɛ
demontować,d ɛ̃ m ɔ̃ n ˈ t ɔ v a t͡ɕ
demos,ˈ d ɛ̃ m ɔ s
demotyczny,d ɛ̃ m ɔ ˈ t ɨ t͡ʂ n ɨ
denar,ˈ d ɛ̃ n a r
denat,ˈ d ɛ̃ n a t
denaturat,d ɛ̃ n a ˈ t u r a t
denazalizacja,d ɛ̃ n a z a l ʲ i ˈ z a t͡s ʲ j a
dendro-,ˈ d ɛ̃ n d r ɔ
dendrologia,d ɛ̃ n d r ɔ ˈ l ɔ ɡ ʲ j a
denerwowanie,d ɛ̃ n ɛ r v ɔ ˈ v ã ɲ ɛ
denerwować,d ɛ̃ n ɛ r ˈ v ɔ v a t͡ɕ
denerwujący,d ɛ̃ n ɛ r v u ˈ j ɔ̃ n t͡s ɨ
denko,ˈ d ɛ̃ n k ɔ
dennica,d ɛ̃ ɲ ˈ i t͡s a
dentysta,d ɛ̃ n ˈ t ɨ s t a
dentystka,d ɛ̃ n ˈ t ɨ s t k a
dentystyczny,d ɛ̃ n t ɨ ˈ s t ɨ t͡ʂ n ɨ
dentystyka,d ɛ̃ n ˈ t ɨ s t ɨ k a
denuncjacja,d ɛ̃ n ũ n ˈ t͡s ʲ j a t͡s ʲ j a
denuncjator,d ɛ̃ n ũ n ˈ t͡s ʲ j a t ɔ r
denuncjowanie,d ɛ̃ n ũ n t͡s ʲ j ɔ ˈ v ã ɲ ɛ
denuncjować,d ɛ̃ n ũ n ˈ t͡s ʲ j ɔ v a t͡ɕ
depaletyzacja,d ɛ p a l ɛ t ɨ ˈ z a t͡s ʲ j a
depaletyzator,d ɛ p a l ɛ t ɨ ˈ z a t ɔ r
depaletyzowanie,d ɛ p a l ɛ t ɨ z ɔ ˈ v ã ɲ ɛ
depaletyzować,d ɛ p a l ɛ t ɨ ˈ z ɔ v a t͡ɕ
departament,d ɛ p a r ˈ t ã m ɛ̃ n t
depek,ˈ d ɛ p ɛ k
depilacja,d ɛ p ʲ i ˈ l a t͡s ʲ j a
depilator,d ɛ p ʲ i ˈ l a t ɔ r
deportacja,d ɛ p ɔ r ˈ t a t͡s ʲ j a
deportowanie,d ɛ p ɔ r t ɔ ˈ v ã ɲ ɛ
deportować,d ɛ p ɔ r ˈ t ɔ v a t͡ɕ
deprawacja,d ɛ p r a ˈ v a t͡s ʲ j a
deprecjacja,d ɛ p r ɛ ˈ t͡s ʲ j a t͡s ʲ j a
deprecjacyjny,d ɛ p r ɛ t͡s ʲ j a ˈ t͡s ɨ j n ɨ
deprecjatywny,d ɛ p r ɛ t͡s ʲ j a ˈ t ɨ v n ɨ
deprecjonowanie,d ɛ p r ɛ t͡s ʲ j ɔ̃ n ɔ ˈ v ã ɲ ɛ
deprecjonować,d ɛ p r ɛ t͡s ʲ j ɔ̃ ˈ n ɔ v a t͡ɕ
depresja,d ɛ ˈ p r ɛ s ʲ j a
deprymowanie,d ɛ p r ɨ m ɔ ˈ v ã ɲ ɛ
deprymować,d ɛ p r ɨ ˈ m ɔ v a t͡ɕ
deptak,ˈ d ɛ p t a k
deptać,ˈ d ɛ p t a t͡ɕ
deputacja,d ɛ p u ˈ t a t͡s ʲ j a
deputat,d ɛ ˈ p u t a t
deputowanie,d ɛ p u t ɔ ˈ v ã ɲ ɛ
deputować,d ɛ p u ˈ t ɔ v a t͡ɕ
deratyzacja,d ɛ r a t ɨ ˈ z a t͡s ʲ j a
derby,ˈ d ɛ r b ɨ
dereferencja,d ɛ r ɛ f ɛ ˈ r ɛ̃ n t͡s ʲ j a
derelikt,d ɛ ˈ r ɛ l ʲ i k t
dereń,ˈ d ɛ r ɛ̃ ɲ
derka,ˈ d ɛ r k a
derkacz,ˈ d ɛ r k a t͡ʂ
dermato-,d ɛ r ˈ m a t ɔ
dermatolog,d ɛ r m a ˈ t ɔ l ɔ k
dermatologa,d ɛ r m a t ɔ ˈ l ɔ ɡ a
dermatologia,d ɛ r m a t ɔ ˈ l ɔ ɡ ʲ j a
dermatoza,d ɛ r m a ˈ t ɔ z a
dernąć,ˈ d ɛ r n ɔ̃ ɲ t͡ɕ
derwisz,ˈ d ɛ r v ʲ i ʂ
derywacja,d ɛ r ɨ ˈ v a t͡s ʲ j a
des,d ɛ s
desa,ˈ d ɛ s a
desakralizacja,d ɛ s a k r a l ʲ i ˈ z a t͡s ʲ j a
desant,ˈ d ɛ s ã n t
descens,ˈ d ɛ s t͡s ɛ̃ w̃ s
deseczka,d ɛ ˈ s ɛ t͡ʂ k a
desensytyzacja,d ɛ s ɛ̃ w̃ s ɨ t ɨ ˈ z a t͡s ʲ j a
deser,ˈ d ɛ s ɛ r
deses,ˈ d ɛ s ɛ s
deska,ˈ d ɛ s k a
deski,ˈ d ɛ s ʲ c i
deskorolka,d ɛ s k ɔ ˈ r ɔ l k a
deskorolkarz,d ɛ s k ɔ ˈ r ɔ l k a ʂ
desman,ˈ d ɛ s m ã n
desperat,d ɛ s ˈ p ɛ r a t
desperatka,d ɛ s p ɛ ˈ r a t k a
despot,ˈ d ɛ s p ɔ t
despota,d ɛ s ˈ p ɔ t a
despotka,d ɛ s ˈ p ɔ t k a
despotycznie,d ɛ s p ɔ ˈ t ɨ t͡ʂ ʲ ɲ ɛ
despotyzm,d ɛ s ˈ p ɔ t ɨ s m̥
destabilizacja,d ɛ s t a b ʲ i l ʲ i ˈ z a t͡s ʲ j a
destrukcja,d ɛ ˈ s t r u k t͡s ʲ j a
destrukcyjny,d ɛ s t r u k ˈ t͡s ɨ j n ɨ
destylacja,d ɛ s t ɨ ˈ l a t͡s ʲ j a
destylat,d ɛ ˈ s t ɨ l a t
destynacja,d ɛ s t ɨ ˈ n a t͡s ʲ j a
desygnat,d ɛ ˈ s ɨ ɡ n a t
deszcz,d ɛ ʂ t͡ʂ
deszczomierz,d ɛ ʂ ˈ t͡ʂ ɔ̃ m ʲ j ɛ ʂ
deszczowy,d ɛ ʂ ˈ t͡ʂ ɔ v ɨ
deszczyk,ˈ d ɛ ʂ t͡ʂ ɨ k
deszeret,d ɛ ˈ ʂ ɛ r ɛ t
desztaplowanie,d ɛ ʂ t a p l ɔ ˈ v ã ɲ ɛ
desztaplować,d ɛ ʂ t a ˈ p l ɔ v a t͡ɕ
detal,ˈ d ɛ t a l
detalista,d ɛ t a ˈ l ʲ i s t a
detekcja,d ɛ ˈ t ɛ k t͡s ʲ j a
detektyw,d ɛ ˈ t ɛ k t ɨ f
deterioracja,d ɛ t ɛ r ʲ j ɔ ˈ r a t͡s ʲ j a
determinant,d ɛ t ɛ r ˈ m ʲ i n ã n t
determinatyw,d ɛ t ɛ r m ʲ i ˈ n a t ɨ f
determinista,d ɛ t ɛ r m ʲ i ˈ ɲ i s t a
detonacja,d ɛ t ɔ̃ ˈ n a t͡s ʲ j a
detonator,d ɛ t ɔ̃ ˈ n a t ɔ r
deuter,ˈ d ɛ w t ɛ r
deuterokanoniczny,d ɛ w t ɛ r ɔ k ã n ɔ̃ ˈ ɲ i t͡ʂ n ɨ
deuteron,d ɛ w ˈ t ɛ r ɔ̃ n
deuterowy,d ɛ w t ɛ ˈ r ɔ v ɨ
dewaluacja,d ɛ v a l u ˈ s u p w s u p a t͡s ʲ j a
dewaluacyjny,d ɛ v a l u s u p w s u p a ˈ t͡s ɨ j n ɨ
dewaluowanie,d ɛ v a l u s u p w s u p ɔ ˈ v ã ɲ ɛ
dewaluować,d ɛ v a l u ˈ s u p w s u p ɔ v a t͡ɕ
dewastacja,d ɛ v a ˈ s t a t͡s ʲ j a
dewastator,d ɛ v a ˈ s t a t ɔ r
dewastować,d ɛ v a ˈ s t ɔ v a t͡ɕ
dewizochłonność,d ɛ v ʲ i z ɔ x ˈ w ɔ̃ n ɔ ɕ t͡ɕ
dewizochłonny,d ɛ v ʲ i z ɔ ˈ x w ɔ̃ n ɨ
dewizy,d ɛ ˈ v ʲ i z ɨ
dewizówka,d ɛ v ʲ i ˈ z u f k a
dewocja,d ɛ ˈ v ɔ t͡s ʲ j a
dewocjonalia,d ɛ v ɔ t͡s ʲ j ɔ̃ ˈ n a l ʲ j a
dewon,ˈ d ɛ v ɔ̃ n
dewotka,d ɛ ˈ v ɔ t k a
dewoński,d ɛ ˈ v ɔ̃ j̃ s ʲ c i
dezaprobata,d ɛ z a p r ɔ ˈ b a t a
dezawantaż,d ɛ z a ˈ v ã n t a ʂ
dezawuować,d ɛ z a v u ˈ s u p w s u p ɔ v a t͡ɕ
dezelować,d ɛ z ɛ ˈ l ɔ v a t͡ɕ
deziluzja,d ɛ z ʲ i ˈ l u z ʲ j a
dezinflacja,d ɛ z ʲ i n f ˈ l a t͡s ʲ j a
dezinflacyjny,d ɛ z ʲ i n f l a ˈ t͡s ɨ j n ɨ
dezintermediacja,d ɛ z ʲ i n t ɛ r m ɛ ˈ d ʲ j a t͡s ʲ j a
dezodorant,d ɛ z ɔ ˈ d ɔ r ã n t
dezodoryzacja,d ɛ z ɔ d ɔ r ɨ ˈ z a t͡s ʲ j a
dezodoryzowanie,d ɛ z ɔ d ɔ r ɨ z ɔ ˈ v ã ɲ ɛ
dezodoryzować,d ɛ z ɔ d ɔ r ɨ ˈ z ɔ v a t͡ɕ
dezorientacja,d ɛ z ɔ r ʲ j ɛ̃ n ˈ t a t͡s ʲ j a
dezyderat,d ɛ z ɨ ˈ d ɛ r a t
dezynfekcja,d ɛ z ɨ n ˈ f ɛ k t͡s ʲ j a
dezynfekcyjny,d ɛ z ɨ n f ɛ k ˈ t͡s ɨ j n ɨ
dezynfekowanie,d ɛ z ɨ n f ɛ k ɔ ˈ v ã ɲ ɛ
dezynfekować,d ɛ z ɨ n f ɛ ˈ k ɔ v a t͡ɕ
dezynfektor,d ɛ z ɨ n ˈ f ɛ k t ɔ r
dezynwoltura,d ɛ z ɨ n v ɔ l ˈ t u r a
deżdż,d ɛ ʂ t͡ʂ
dh,d ɛ ˈ x a
dhakijczyk,d a ˈ c i j t͡ʂ ɨ k
dhakijka,d a ˈ c i j k a
dhakijski,d a ˈ c i j s ʲ c i
diabaz,ˈ d ʲ j a b a s
diabelski,d ʲ j a ˈ b ɛ l s ʲ c i
diabetolog,d ʲ j a b ɛ ˈ t ɔ l ɔ k
diabetologia,d ʲ j a b ɛ t ɔ ˈ l ɔ ɡ ʲ j a
diabetologiczny,d ʲ j a b ɛ t ɔ l ɔ ˈ ɡ ʲ i t͡ʂ n ɨ
diabetyk,d ʲ j a ˈ b ɛ t ɨ k
diabeł,ˈ d ʲ j a b ɛ w
diadem,ˈ d ʲ j a d ɛ̃ m
diagnostyczny,d ʲ j a ɡ n ɔ ˈ s t ɨ t͡ʂ n ɨ
diagnostyka,d ʲ j a ˈ ɡ n ɔ s t ɨ k a
diagnoza,d ʲ j a ˈ ɡ n ɔ z a
diagnozowanie,d ʲ j a ɡ n ɔ z ɔ ˈ v ã ɲ ɛ
diagnozować,d ʲ j a ɡ n ɔ ˈ z ɔ v a t͡ɕ
diagram,ˈ d ʲ j a ɡ r ã m
diak,d ʲ j a k
diakrytyczny,d ʲ j a k r ɨ ˈ t ɨ t͡ʂ n ɨ
dialekt,ˈ d ʲ j a l ɛ k t
dialektyczny,d ʲ j a l ɛ k ˈ t ɨ t͡ʂ n ɨ
dializacyjny,d ʲ j a l ʲ i z a ˈ t͡s ɨ j n ɨ
dialog,ˈ d ʲ j a l ɔ k
diament,ˈ d ʲ j ã m ɛ̃ n t
diamentowy,d ʲ j ã m ɛ̃ n ˈ t ɔ v ɨ
diametralnie,d ʲ j ã m ɛ ˈ t r a l ʲ ɲ ɛ
diana,ˈ d ʲ j ã n a
diaskop,ˈ d ʲ j a s k ɔ p
diaspora,d ʲ j a ˈ s p ɔ r a
diasporyczny,d ʲ j a s p ɔ ˈ r ɨ t͡ʂ n ɨ
diastema,d ʲ j a ˈ s t ɛ̃ m a
diateza,d ʲ j a ˈ t ɛ z a
dicho,ˈ d ʲ i x ɔ
didaskalia,d ʲ i d a ˈ s k a l ʲ j a
diecezja,d ʲ j ɛ ˈ t͡s ɛ z ʲ j a
diecezjalny,d ʲ j ɛ t͡s ɛ ˈ z ʲ j a l n ɨ
dielektryk,d ʲ j ɛ ˈ l ɛ k t r ɨ k
diesel,ˈ d ʲ i z ɛ l
dieta,ˈ d ʲ j ɛ t a
dietetyczka,d ʲ j ɛ t ɛ ˈ t ɨ t͡ʂ k a
dietetyczny,d ʲ j ɛ t ɛ ˈ t ɨ t͡ʂ n ɨ
dietetyk,d ʲ j ɛ ˈ t ɛ t ɨ k
dietetyka,d ʲ j ɛ ˈ t ɛ t ɨ k a
difalia,d ʲ i ˈ f a l ʲ j a
difenbachia,d ʲ i f ɛ̃ n ˈ b a ɣ j a
diff,d ʲ i f
digitalizacja,d ʲ i ɡ ʲ i t a l ʲ i ˈ z a t͡s ʲ j a
digoksyna,d ʲ i ɡ ɔ ˈ k s ɨ n a
dihydralazyna,d ʲ i x ɨ d r a l a ˈ z ɨ n a
dike,ˈ d ʲ i k ɛ
diler,ˈ d ʲ i l ɛ r
dili,ˈ d ʲ i l ʲ i
dilijczyk,d ʲ i ˈ l ʲ i j t͡ʂ ɨ k
dilijka,d ʲ i ˈ l ʲ i j k a
dilijski,d ʲ i ˈ l ʲ i j s ʲ c i
dimer,ˈ d ʲ i m ɛ r
din,d ʲ i n
dinar,ˈ d ʲ i n a r
dingo,ˈ d ʲ i ŋ ɡ ɔ
dinks,d ʲ i ŋ k s
dinozaur,d ʲ i ˈ n ɔ z a w r
dintojra,d ʲ i n ˈ t ɔ j r a
dioda,ˈ d ʲ j ɔ d a
diogenes,d ʲ j ɔ ˈ ɡ ɛ̃ n ɛ s
diorama,d ʲ j ɔ ˈ r ã m a
dip,d ʲ i p
diplodok,d ʲ i ˈ p l ɔ d ɔ k
dipterologia,d ʲ i p t ɛ r ɔ ˈ l ɔ ɡ ʲ j a
dirka,ˈ d ʲ i r k a
dis,d ʲ i s
dis-moll,ˈ d ʲ i s m ɔ l
discman,ˈ d ʲ i s k m ɛ̃ n
disis,ˈ d ʲ i s ʲ i s
disulfoton,d ʲ i s u l ˈ f ɔ t ɔ̃ n
diuna,ˈ d ʲ j ũ n a
dkf,d ɛ k a ˈ ɛ f
dla,d l a
dlaczego,d l a ˈ t͡ʂ ɛ ɡ ɔ
dlatego,d l a ˈ t ɛ ɡ ɔ
dlań,d l ã ɲ
dmuchanie,d m u ˈ x ã ɲ ɛ
dmuchawiec,d m u ˈ x a v ʲ j ɛ t͡s
dmuchać,ˈ d m u x a t͡ɕ
dmuchnąć,ˈ d m u x n ɔ̃ ɲ t͡ɕ
dn,ˈ c ɕ ɛ̃ ŋ ɡ a d ã ˈ ɲ ɛ l a
dniepr,d ʲ ɲ ɛ p r̥
dniestr,d ʲ ɲ ɛ s t r̥
dniować,ˈ d ʲ ɲ ɔ v a t͡ɕ
dno,d n ɔ
do,d ɔ
dołek,ˈ d ɔ w ɛ k
dołowanie,d ɔ w ɔ ˈ v ã ɲ ɛ
dołować,d ɔ ˈ w ɔ v a t͡ɕ
dołożyć,d ɔ ˈ w ɔ ʐ ɨ t͡ɕ
dołączyć,d ɔ ˈ w ɔ̃ ɲ t͡ʂ ɨ t͡ɕ
doń,d ɔ̃ ɲ
doński,ˈ d ɔ̃ j̃ s ʲ c i
dośpiały,d ɔ ˈ ɕ p ʲ j a w ɨ
doświadczalny,d ɔ ɕ f ʲ j a ṭ ˈ t͡ʂ a l n ɨ
doświadczenie,d ɔ ɕ f ʲ j a ṭ ˈ t͡ʂ ɛ̃ ɲ ɛ
doświadczony,d ɔ ɕ f ʲ j a ṭ ˈ t͡ʂ ɔ̃ n ɨ
doświadczyć,d ɔ ˈ ɕ f ʲ j a ṭ t͡ʂ ɨ t͡ɕ
dość,d ɔ ɕ t͡ɕ
doba,ˈ d ɔ b a
dobczyce,d ɔ p ˈ t͡ʂ ɨ t͡s ɛ
doberman,d ɔ ˈ b ɛ r m ã n
dobieg,ˈ d ɔ b ʲ j ɛ k
dobiegaczka,d ɔ b ʲ j ɛ ˈ ɡ a t͡ʂ k a
dobiegniew,d ɔ ˈ b ʲ j ɛ ɡ ʲ ɲ ɛ f
dobijanie,d ɔ b ʲ i ˈ j a ɲ ɛ
dobitnie,d ɔ ˈ b ʲ i t ʲ ɲ ɛ
dobitność,d ɔ ˈ b ʲ i t n ɔ ɕ t͡ɕ
dobitny,d ɔ ˈ b ʲ i t n ɨ
dobić,ˈ d ɔ b ʲ i t͡ɕ
dobosz,ˈ d ɔ b ɔ ʂ
dobra,ˈ d ɔ b r a
dobranoc,d ɔ ˈ b r ã n ɔ t͡s
dobrawa,d ɔ ˈ b r a v a
dobro,ˈ d ɔ b r ɔ
dobrobyt,d ɔ ˈ b r ɔ b ɨ t
dobrochoczy,d ɔ b r ɔ ˈ x ɔ t͡ʂ ɨ
dobroczynny,d ɔ b r ɔ ˈ t͡ʂ ɨ n ɨ
dobrodziej,d ɔ ˈ b r ɔ d͡ʑ ɛ j
dobrodzień,d ɔ ˈ b r ɔ d͡ʑ ɛ̃ ɲ
dobromir,d ɔ ˈ b r ɔ̃ m ʲ i r
dobromił,d ɔ ˈ b r ɔ̃ m ʲ i w
dobromiła,d ɔ b r ɔ̃ ˈ m ʲ i w a
dobrota,d ɔ ˈ b r ɔ t a
dobrotliwy,d ɔ b r ɔ ˈ t l ʲ i v ɨ
dobrowolnie,d ɔ b r ɔ ˈ v ɔ l ʲ ɲ ɛ
dobrowolny,d ɔ b r ɔ ˈ v ɔ l n ɨ
dobroć,ˈ d ɔ b r ɔ t͡ɕ
dobry,ˈ d ɔ b r ɨ
dobrzany,d ɔ ˈ b ʐ ã n ɨ
dobrze,ˈ d ɔ b ʐ ɛ
dobrzedziałka,d ɔ b ʐ ɛ ˈ d͡ʑ a w k a
dobytczę,d ɔ ˈ b ɨ ṭ t͡ʂ ɛ
dobytek,d ɔ ˈ b ɨ t ɛ k
dobywać,d ɔ ˈ b ɨ v a t͡ɕ
dobyć,ˈ d ɔ b ɨ t͡ɕ
docenianie,d ɔ t͡s ɛ̃ ˈ ɲ a ɲ ɛ
doceniać,d ɔ ˈ t͡s ɛ̃ ɲ æ t͡ɕ
docenienie,d ɔ t͡s ɛ̃ ˈ ɲ ɛ̃ ɲ ɛ
docenić,d ɔ ˈ t͡s ɛ̃ ɲ i t͡ɕ
docent,ˈ d ɔ t͡s ɛ̃ n t
docentura,d ɔ t͡s ɛ̃ n ˈ t u r a
dochodowy,d ɔ x ɔ ˈ d ɔ v ɨ
dochodzenie,d ɔ x ɔ ˈ d͡z ɛ̃ ɲ ɛ
dochodzić,d ɔ ˈ x ɔ d͡ʑ i t͡ɕ
dochód,ˈ d ɔ x u t
docierać,d ɔ ˈ t͡ɕ ɛ r a t͡ɕ
doczepić,d ɔ ˈ t͡ʂ ɛ p ʲ i t͡ɕ
doczesny,d ɔ ˈ t͡ʂ ɛ s n ɨ
doczka,ˈ d ɔ t͡ʂ k a
dodanie,d ɔ ˈ d ã ɲ ɛ
dodatek,d ɔ ˈ d a t ɛ k
dodatkowy,d ɔ d a t ˈ k ɔ v ɨ
dodatni,d ɔ ˈ d a t ʲ ɲ i
dodawanie,d ɔ d a ˈ v ã ɲ ɛ
dodawać,d ɔ ˈ d a v a t͡ɕ
dodać,ˈ d ɔ d a t͡ɕ
dodo,ˈ d ɔ d ɔ
dodoma,d ɔ ˈ d ɔ̃ m a
dodomczyk,d ɔ ˈ d ɔ̃ m t͡ʂ ɨ k
dodomka,d ɔ ˈ d ɔ̃ m k a
dodomski,d ɔ ˈ d ɔ̃ m s ʲ c i
dodzierżeć,d ɔ ˈ d͡ʑ ɛ r ʐ ɛ t͡ɕ
dog,d ɔ k
doganiać,d ɔ ˈ ɡ ã ɲ æ t͡ɕ
dogaszać,d ɔ ˈ ɡ a ʂ a t͡ɕ
dogodzić,d ɔ ˈ ɡ ɔ d͡ʑ i t͡ɕ
dogorywać,d ɔ ɡ ɔ ˈ r ɨ v a t͡ɕ
dogrywka,d ɔ ˈ ɡ r ɨ f k a
doić,ˈ d ɔ s u p j s u p i t͡ɕ
dojazdowy,d ɔ j a z ˈ d ɔ v ɨ
dojebać,d ɔ ˈ j ɛ b a t͡ɕ
dojechać,d ɔ ˈ j ɛ x a t͡ɕ
dojenie,d ɔ ˈ j ɛ̃ ɲ ɛ
dojeść,ˈ d ɔ j ɛ ɕ t͡ɕ
dojeżdżać,d ɔ ˈ j ɛ ʐ d͡ʐ a t͡ɕ
dojrzały,d ɔ j ˈ ʐ a w ɨ
dojrzewanie,d ɔ j ʐ ɛ ˈ v ã ɲ ɛ
dojrzewać,d ɔ j ˈ ʐ ɛ v a t͡ɕ
dojście,ˈ d ɔ j ɕ t͡ɕ ɛ
dojść,d ɔ j ɕ t͡ɕ
dok,d ɔ k
dokarmianie,d ɔ k a r ˈ m ʲ j a ɲ ɛ
dokarmiać,d ɔ ˈ k a r m ʲ j æ t͡ɕ
dokonanie,d ɔ k ɔ̃ ˈ n ã ɲ ɛ
dokonany,d ɔ k ɔ̃ ˈ n ã n ɨ
dokonać,d ɔ ˈ k ɔ̃ n a t͡ɕ
dokonały,d ɔ k ɔ̃ ˈ n a w ɨ
dokonywanie,d ɔ k ɔ̃ n ɨ ˈ v ã ɲ ɛ
dokonywać,d ɔ k ɔ̃ ˈ n ɨ v a t͡ɕ
dokowanie,d ɔ k ɔ ˈ v ã ɲ ɛ
dokp,d ɛ ɔ k a ˈ p ɛ
dokręcać,d ɔ ˈ k r ɛ̃ n t͡s a t͡ɕ
doktor,ˈ d ɔ k t ɔ r
doktorancki,d ɔ k t ɔ ˈ r ã n t͡s ʲ c i
doktorant,d ɔ k ˈ t ɔ r ã n t
doktorantka,d ɔ k t ɔ ˈ r ã n t k a
doktorostwo,d ɔ k t ɔ ˈ r ɔ s t f ɔ
doktorski,d ɔ k ˈ t ɔ r s ʲ c i
doktorstwo,d ɔ k ˈ t ɔ r s t f ɔ
doktryna,d ɔ k ˈ t r ɨ n a
dokuczanie,d ɔ k u ˈ t͡ʂ ã ɲ ɛ
dokuczać,d ɔ ˈ k u t͡ʂ a t͡ɕ
dokuczliwy,d ɔ k u t͡ʂ ˈ l ʲ i v ɨ
dokuczyć,d ɔ ˈ k u t͡ʂ ɨ t͡ɕ
dokument,d ɔ ˈ k ũ m ɛ̃ n t
dokumentacja,d ɔ k ũ m ɛ̃ n ˈ t a t͡s ʲ j a
dokąd,ˈ d ɔ k ɔ̃ n t
dokądś,ˈ d ɔ k ɔ̃ n t ʲ ɕ
dokładanie,d ɔ k w a ˈ d ã ɲ ɛ
dokładać,d ɔ ˈ k w a d a t͡ɕ
dokładnie,d ɔ ˈ k w a d ʲ ɲ ɛ
dokładność,d ɔ ˈ k w a d n ɔ ɕ t͡ɕ
dokładny,d ɔ ˈ k w a d n ɨ
dol,d ɔ l
dola,ˈ d ɔ l a
dolar,ˈ d ɔ l a r
dolarowy,d ɔ l a ˈ r ɔ v ɨ
dolaryzacja,d ɔ l a r ɨ ˈ z a t͡s ʲ j a
dolaryzowanie,d ɔ l a r ɨ z ɔ ˈ v ã ɲ ɛ
dolaryzować,d ɔ l a r ɨ ˈ z ɔ v a t͡ɕ
dolec,ˈ d ɔ l ɛ t͡s
dolegliwość,d ɔ l ɛ ɡ ˈ l ʲ i v ɔ ɕ t͡ɕ
doległość,d ɔ ˈ l ɛ ɡ w ɔ ɕ t͡ɕ
dolewać,d ɔ ˈ l ɛ v a t͡ɕ
doliczyć,d ɔ ˈ l ʲ i t͡ʂ ɨ t͡ɕ
dolina,d ɔ ˈ l ʲ i n a
doliniarz,d ɔ ˈ l ʲ i ɲ a ʂ
dolinka,d ɔ ˈ l ʲ i n k a
dolinny,d ɔ ˈ l ʲ i n ɨ
dolmeczerka,d ɔ l m ɛ ˈ t͡ʂ ɛ r k a
dolmen,ˈ d ɔ l m ɛ̃ n
dolmusz,ˈ d ɔ l m u ʂ
dolnoniemieckojęzyczny,ˈ d ɔ l n ɔ ɲ ɛ̃ ˈ m ʲ j ɛ t͡s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
dolnołużycki,d ɔ l n ɔ w u ˈ ʐ ɨ t͡s ʲ c i
dolnołużyckojęzyczny,ˈ d ɔ l n ɔ w u ˈ ʐ ɨ t͡s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
dolny,ˈ d ɔ l n ɨ
dolomit,d ɔ ˈ l ɔ̃ m ʲ i t
dolos,ˈ d ɔ l ɔ s
dolsk,d ɔ l s k
dolędzin,d ɔ ˈ l ɛ̃ ɲ d͡ʑ i n
dolędźwiowy,d ɔ l ɛ̃ ɲ d͡ʑ ˈ v ʲ j ɔ v ɨ
dom,d ɔ̃ m
dom,ˈ d ɔ m ɨ
domak,ˈ d ɔ̃ m a k
domalować,d ɔ̃ m a ˈ l ɔ v a t͡ɕ
domalowywanie,d ɔ̃ m a l ɔ v ɨ ˈ v ã ɲ ɛ
domalowywać,d ɔ̃ m a l ɔ ˈ v ɨ v a t͡ɕ
domatorka,d ɔ̃ m a ˈ t ɔ r k a
domek,ˈ d ɔ̃ m ɛ k
domena,d ɔ̃ ˈ m ɛ̃ n a
domestykacja,d ɔ̃ m ɛ s t ɨ ˈ k a t͡s ʲ j a
domina,d ɔ̃ ˈ m ʲ i n a
dominacja,d ɔ̃ m ʲ i ˈ n a t͡s ʲ j a
dominicki,d ɔ̃ m ʲ i ˈ ɲ i t͡s ʲ c i
dominik,d ɔ̃ ˈ m ʲ i ɲ i k
dominika,d ɔ̃ m ʲ i ˈ ɲ i k a
dominikana,d ɔ̃ m ʲ i ɲ i ˈ k ã n a
dominikanin,d ɔ̃ m ʲ i ɲ i ˈ k ã ɲ i n
dominikanka,d ɔ̃ m ʲ i ɲ i ˈ k ã n k a
dominikańczyk,d ɔ̃ m ʲ i ɲ i ˈ k ã j̃ ɲ t͡ʂ ɨ k
dominikański,d ɔ̃ m ʲ i ɲ i ˈ k ã j̃ s ʲ c i
domino,d ɔ̃ ˈ m ʲ i n ɔ
dominować,d ɔ̃ m ʲ i ˈ n ɔ v a t͡ɕ
domniemanie,d ɔ̃ m ʲ ɲ ɛ̃ ˈ m ã ɲ ɛ
domniemany,d ɔ̃ m ʲ ɲ ɛ̃ ˈ m ã n ɨ
domofon,d ɔ̃ ˈ m ɔ f ɔ̃ n
domokrążca,d ɔ̃ m ɔ ˈ k r ɔ̃ w̃ ʂ t͡s a
domowy,d ɔ̃ ˈ m ɔ v ɨ
domra,ˈ d ɔ̃ m r a
domówka,d ɔ̃ ˈ m u f k a
don,d ɔ̃ n
donald,ˈ d ɔ̃ n a l t
donaryt,d ɔ̃ ˈ n a r ɨ t
donator,d ɔ̃ ˈ n a t ɔ r
donica,d ɔ̃ ˈ ɲ i t͡s a
doniczka,d ɔ̃ ˈ ɲ i t͡ʂ k a
doniczkowy,d ɔ̃ ɲ i t͡ʂ ˈ k ɔ v ɨ
donieck,ˈ d ɔ̃ ɲ ɛ t͡s k
doniecki,d ɔ̃ ˈ ɲ ɛ t͡s ʲ c i
doniesienie,d ɔ̃ ɲ ɛ ˈ ɕ ɛ̃ ɲ ɛ
donieść,ˈ d ɔ̃ ɲ ɛ ɕ t͡ɕ
donikąd,d ɔ̃ ˈ ɲ i k ɔ̃ n t
