čač,t͡ʃ a t͡ʃ
irák,ɪ r aː k
irčan,ɪ r t͡ʃ a n
irština,ɪ r ʃ c ɪ n a
ischia,ɪ s x ɪ a
islamismus,ɪ s l a m ɪ s m ʊ s
islamista,ɪ s l a m ɪ s t a
islamistů,ɪ s l a m ɪ s t uː
islamobijec,ɪ s l a m ɔ b ɪ j ɛ t s
island,ɪ s l a n t
islandsky,ɪ s l a n t͡s k ɪ
islandský,ɪ s l a n t s k iː
islandský,ɪ s l a n t͡s k iː
islandština,i s l a n t͡ʃ c ɪ n a
islanďan,ɪ s l a n ɟ a n
islanďanka,i s l a n ɟ a ŋ k a
islám,ˈ ɪ s l aː m
islámem,ʔ ɪ s l aː m ɛ m
islámský,ɪ s l aː m s k iː
islámskými,ɪ s l aː m s k iː m ɪ
islámu,ɪ s l aː m ʊ
islámábád,ɪ s l aː m aː b aː t
islámštější,ˈ ʔ ɪ s l aː m ʃ c ɛ j ʃ iː
isobara,ɪ z ɔ b a r a
isobatha,ɪ z ɔ b aː t a
isodiametrický,ɪ z ɔ d ɪ j a m ɛ t r̩ ɪ t s k iː
isohelie,ɪ z ɔ ɦ ɛː l ɪ j ɛ
isohypsa,ɪ z ɔ ɦ ɪ p s a
isolinie,ɪ z ɔ l iː n ɪ j ɛ
isoterma,ɪ z ɔ t ɛ r m a
isp,iː ɛ s p ɛː
istanbul,ɪ s t a m b ʊ l
istanbulský,ɪ s t a m b ʊ l s k iː
istanbulu,ɪ s t a m b ʊ l ʊ
ister,ɪ s t ɛ r
istrie,ɪ s t r̩ ɪ j ɛ
ital,ɪ t a l
italka,ɪ t a l k a
italsky,ˈ ʔ ɪ t a l s k ɪ
italské,ɪ t a l s k ɛː
italském,ɪ t a l s k ɛː m
italský,ɪ t a l s k iː
italských,ɪ t a l s k iː x
italským,ɪ t a l s k iː m
italy,ɪ t a l ɪ
italštin,ɪ t a l ʃ c ɪ n
italština,ɪ t a l ʃ c ɪ n a
italštinami,ɪ t a l ʃ c ɪ n a m ɪ
italštino,ɪ t a l ʃ c ɪ n ɔ
italštinou,ɪ t a l ʃ c ɪ n ɔ ʊ̯
italštinu,ɪ t a l ʃ c ɪ n ʊ
italštiny,ɪ t a l ʃ c ɪ n ɪ
italštinách,ɪ t a l ʃ c ɪ n aː x
italštinám,ɪ t a l ʃ c ɪ n aː m
italštině,ɪ t a l ʃ c ɪ ɲ ɛ
italští,ɪ t a l ʃ c iː
italův,ɪ t a l uː f
ithaka,ɪ t a k a
itálie,ɪ t aː l ɪ j ɛ
itálii,ɪ t aː l ɪ j ɪ
iv,ɪ f
iva,ɪ v a
ivana,ɪ v a n a
ivanův,ɪ v a n uː f
ivi,ɪ v ɪ
ivo,ɪ v ɔ
ivona,ɪ v ɔ n a
ivovi,ɪ v ɔ v ɪ
izalobara,ɪ z a l ɔ b a r a
izer,ɪ z ɛ r
izera,ɪ z ɛ r a
izobara,ɪ z ɔ b a r a
izobáta,ˈ ʔ ɪ z ɔ b aː t a
izochiona,ɪ z ɔ x ɪ ɔ n a
izohypsa,ɪ z ɔ ɦ ɪ p s a
izohélie,ɪ z ɔ ɦ ɛː l ɪ j ɛ
izolace,ɪ z ɔ l a t͡s ɛ
izolinie,ɪ z ɔ l iː n ɪ j ɛ
izomer,ɪ z ɔ m ɛ r
izomorfní,ɪ z ɔ m ɔ r f ɲ iː
izopropylalkohol,ɪ z ɔ p r ɔ p ɪ l a l k ɔ ɦ ɔ l
izoterma,ɪ z ɔ t ɛ r m a
izotop,ɪ z ɔ t ɔ p
izovolumický,ɪ z ɔ v ɔ l ʊ m ɪ t͡s k iː
izrael,ˈ ɪ z r a ɛ l
izraelec,ˈ ɪ z r a ɛ l ɛ t͡s
izraelka,ɪ z r a ɛ l k a
izraelský,ɪ z r a ɛ l s k iː
ižorština,ɪ ʒ ɔ r ʃ c ɪ n a
jaře,j a r̝ ɛ
jařem,j a r̝ ɛ m
jařmo,j a r̝ m ɔ
jablečník,j a b l ɛ t͡ʃ ɲ iː k
jablečný,j a b l ɛ t͡ʃ n iː
jablko,j a b l̩ k ɔ
jablko,j a p k ɔ
jablkovice,j a b l̩ k ɔ v ɪ t͡s ɛ
jablonecký,j a b l ɔ n ɛ t͡s k iː
jabloň,j a b l ɔ ɲ
jabloňový,j a b l ɔ ɲ ɔ v iː
jablunkov,j a b l ʊ ŋ k ɔ f
jablunkovsko,j a b l ʊ ŋ k ɔ f s k ɔ
jablíčko,j a b l iː t͡ʃ k ɔ
jachetní,j a x ɛ t ɲ iː
jachta,j a x t a
jachtařka,ˈ j a x t a r̝̊ k a
jacques,ʒ a k
jadernou,j a d ɛ r n ɔ ʊ̯
jaderný,j a d ɛ r n iː
jadran,j a d r a n
jaguár,j a ɡ ʊ aː r
jaguáří,j a ɡ ʊ aː r̝ iː
jahelný,j a ɦ ɛ l n iː
jahoda,j a ɦ ɔ d a
jahodník,j a ɦ ɔ d ɲ iː k
jahodový,j a ɦ ɔ d ɔ v iː
jahůdka,j a ɦ uː t k a
jak,j a k
jakarta,ɟ a k a r t a
jakešův,j a k ɛ ʃ uː f
jakkoli,j a k ʔ k ɔ l ɪ
jakkoliv,j a k k ɔ l ɪ f
jakmile,j a k m ɪ l ɛ
jako,ˈ j a k ɔ
jakoby,j a k ɔ b ɪ
jakost,j a k ɔ s t
jakou,j a k ɔ ʊ̯
jakoukoli,j a k ɔ ʊ̯ k ɔ l ɪ
jakový,j a k ɔ v iː
jakožto,ˈ j a k ɔ ʃ t ɔ
jaks,j a k s
jaksi,ˈ j a k s ɪ
jakub,ˈ j a k ʊ p
jakubka,j a k ʊ p k a
jakubův,j a k ʊ b uː f
jaké,j a k ɛː
jakéhokoli,j a k ɛː ɦ ɔ k ɔ l ɪ
jakékoli,j a k ɛː k ɔ l ɪ
jaký,j a k iː
jakýkoli,j a k iː k ɔ l ɪ
jakýkoliv,j a k iː k ɔ l ɪ f
jakýsi,j a k iː s ɪ
jakžtakž,j a k ʃ t a k ʃ
jalovcový,j a l ɔ f t͡s ɔ v iː
jalovec,j a l ɔ v ɛ t͡s
jalovice,j a l ɔ v ɪ t͡s ɛ
jalovička,j a l ɔ v ɪ t͡ʃ k a
jalta,j a l t a
jaltský,j a l t s k iː
jaltě,j a l c ɛ
jam,j a m
jamajka,j a m a j k a
jamajský,j a m a j s k iː
jamajčan,j a m a j t͡ʃ a n
jamb,j a m p
jambe,j a m b ɛ
jamka,j a m k a
jamu,j a m ʊ
jan,j a n
jana,j a n a
jane,j a n ɛ
janin,j a ɲ ɪ n
janička,j a ɲ ɪ t͡ʃ k a
jano,j a n ɔ
janov,j a n ɔ f
janova,j a n ɔ v a
janovec,j a n ɔ v ɛ t͡s
janově,j a n ɔ v j ɛ
jantar,j a n t a r
jantarový,j a n t a r ɔ v iː
janu,j a n ʊ
janukovyč,j a n ʊ k ɔ v ɪ t͡ʃ
janukovyče,j a n ʊ k ɔ v ɪ t͡ʃ ɛ
janukovyčově,j a n ʊ k ɔ v ɪ t͡ʃ ɔ v j ɛ
janukovyčův,j a n ʊ k ɔ v ɪ t͡ʃ uː f
jany,j a n ɪ
janáček,j a n aː t͡ʃ ɛ k
janů,j a n uː
janův,j a n uː f
japanizmus,j a p a n ɪ z m ʊ s
japanologie,j a p a n ɔ l ɔ ɡ ɪ j ɛ
japanoložka,j a p a n ɔ l ɔ ʃ k a
japanoložčin,ˈ j a p a n ɔ l ɔ ʃ t͡ʃ ɪ n
japonec,j a p ɔ n ɛ t͡s
japonka,j a p ɔ ŋ k a
japonska,j a p ɔ n s k a
japonsko,j a p ɔ n s k ɔ
japonsku,j a p ɔ n s k ʊ
japonsky,j a p ɔ n s k ɪ
japonské,j a p ɔ n s k ɛː
japonský,j a p ɔ n s k iː
japonština,j a p ɔ n ʃ c ɪ n a
jar,j a r
jarda,j a r d a
jardech,j a r d ɛ x
jardo,j a r d ɔ
jardou,j a r d ɔ ʊ̯
jardovi,j a r d ɔ v ɪ
jardové,j a r d ɔ v ɛː
jardu,j a r d ʊ
jardy,j a r d ɪ
jardů,j a r d uː
jardům,j a r d uː m
jarem,j a r ɛ m
jarka,j a r k a
jarmara,j a r m a r a
jarmarečník,j a r m a r ɛ t͡ʃ ɲ iː k
jarmark,j a r m a r k
jarmil,j a r m ɪ l
jarmila,j a r m ɪ l a
jarmo,j a r m ɔ
jarní,j a r ɲ iː
jarního,j a r ɲ iː ɦ ɔ
jaro,j a r ɔ
jaromír,j a r ɔ m iː r
jaroslav,j a r ɔ s l a f
jarý,j a r iː
jasan,j a s a n
jasanový,j a s a n ɔ v iː
jasanu,j a s a n ʊ
jasmín,j a s m iː n
jasno,j a s n ɔ
jasnovidec,j a s n ɔ v ɪ d ɛ t͡s
jasnovidecký,j a s n ɔ v ɪ d ɛ t͡s k iː
jasnovidectví,j a s n ɔ v ɪ d ɛ t͡s t v iː
jasná,j a s n aː
jasné,j a s n ɛː
jasný,j a s n iː
jasně,j a s ɲ ɛ
jaspis,j a s p ɪ s
jaspisový,j a s p ɪ s ɔ v iː
jaterní,j a t ɛ r ɲ iː
jaterník,j a t ɛ r ɲ iː k
jatka,j a t k a
jatky,j a t k ɪ
jau,j a ʊ̯
jauvajs,j a ʊ̯ v a j s
javor,j a v ɔ r
javorník,j a v ɔ r ɲ iː k
javorový,j a v ɔ r ɔ v iː
javánka,j a v aː ŋ k a
javánsky,j a v aː n s k ɪ
jaw,ˈ j aː v
jazyce,j a z ɪ t͡s ɛ
jazyk,ˈ j a z ɪ k
jazyka,j a z ɪ k a
jazykovka,j a z ɪ k ɔ f k a
jazykové,j a z ɪ k ɔ v ɛː
jazykový,j a z ɪ k ɔ v iː
jazykověda,ˈ j a z ɪ k ɔ v j ɛ d a
jazykovědkyně,j a z ɪ k ɔ v j ɛ t k ɪ ɲ ɛ
jazykovědný,j a z ɪ k ɔ v j ɛ d n iː
jazylka,j a z ɪ l k a
jda,j d a
jde,d ɛ
jde,j d ɛ
jdeme,j d ɛ m ɛ
jdete,j d ɛ t ɛ
jdeš,d ɛ ʃ
jdeš,j d ɛ ʃ
jdi,j ɟ ɪ
jdou,d ɔ ʊ̯
jdou,j d ɔ ʊ̯
jdouc,j d ɔ ʊ̯ t͡s
jdoucí,j d ɔ ʊ̯ t͡s iː
jdu,d ʊ
jdu,j d ʊ
jděme,ˈ j ɟ ɛ m ɛ
jděme,ˈ ɟ ɛ m ɛ
ječet,j ɛ t͡ʃ ɛ t
ječmen,j ɛ t͡ʃ m ɛ n
ječmenek,j ɛ t͡ʃ m ɛ n ɛ k
ječmenný,j ɛ t͡ʃ m ɛ n iː
ječmének,j ɛ t͡ʃ m ɛː n ɛ k
ječný,j ɛ t͡ʃ n iː
ječák,j ɛ t͡ʃ aː k
jeď,j ɛ c
je,j ɛ
jeřabina,j ɛ r̝ a b ɪ n a
jeřáb,j ɛ r̝ aː p
jeřábník,j ɛ r̝ aː b ɲ iː k
jeřábníkův,j ɛ r̝ aː b ɲ iː k uː f
ješitnost,ˈ j ɛ ʃ ɪ t n ɔ s t
ješitný,ˈ j ɛ ʃ ɪ t n iː
ještě,j ɛ ʃ c ɛ
ještěd,j ɛ ʃ c ɛ t
ještěr,j ɛ ʃ c ɛ r
ještěrka,j ɛ ʃ c ɛ r k a
jebat,ˈ j ɛ b a t
jebačka,j ɛ b a t͡ʃ k a
jebák,j ɛ b aː k
jed,j ɛ t
jeda,j ɛ d a
jede,j ɛ d ɛ
jedem,j ɛ d ɛ m
jeden,ˈ j ɛ d ɛ n
jedenadvacet,j ɛ d ɛ n a d v a t͡s ɛ t
jedenatřicetiletý,j ɛ d ɛ n a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t iː
jedenačtyřicetiletý,j ɛ d ɛ n a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jedenašedesát,j ɛ d ɛ n a ʃ ɛ d ɛ s aː t
jedenmecítma,j ɛ d ɛ n m ɛ t͡s iː t m a
jedenáct,j ɛ d ɛ n aː t͡s t
jedenácti,j ɛ d ɛ n aː t͡s c ɪ
jedenáctidenní,j ɛ d ɛ n aː t͡s c ɪ d ɛ ɲ iː
jedenáctikilometrového,j ɛ d ɛ n aː t͡s c ɪ k ɪ l ɔ m ɛ t r ɔ v ɛː ɦ ɔ
jedenáctikilometrový,j ɛ d ɛ n aː t͡s c ɪ k ɪ l ɔ m ɛ t r ɔ v iː
jedenáctiletka,j ɛ d ɛ n aː t͡s c ɪ l ɛ t k a
jedenáctiletou,j ɛ d ɛ n aː t͡s c ɪ l ɛ t ɔ ʊ̯
jedenáctiletého,j ɛ d ɛ n aː t͡s c ɪ l ɛ t ɛː ɦ ɔ
jedenáctiletý,j ɛ d ɛ n aː t͡s c ɪ l ɛ t iː
jedenáctiměsíční,j ɛ d ɛ n aː t͡s c ɪ m ɲ ɛ s iː t͡ʃ ɲ iː
jedenáctinásobný,j ɛ d ɛ n aː t͡s c ɪ n aː s ɔ b n iː
jedenáctipatrové,j ɛ d ɛ n aː t͡s c ɪ p a t r ɔ v ɛː
jedenáctipatrový,j ɛ d ɛ n aː t͡s c ɪ p a t r ɔ v iː
jedenáctistovka,j ɛ d ɛ n a t͡s c ɪ s t ɔ f k a
jedenáctistovkou,j ɛ d ɛ n a t͡s c ɪ s t ɔ f k ɔ ʊ̯
jedenáctiúhelník,j ɛ d ɛ n aː t s c ɪ uː ɦ ɛ l ɲ iː k
jedenácté,j ɛ d ɛ n aː t͡s t ɛː
jedenáctý,j ɛ d ɛ n aː t͡s t iː
jedení,j ɛ d ɛ ɲ iː
jedete,j ɛ d ɛ t ɛ
jedinec,j ɛ ɟ ɪ n ɛ t͡s
jedinečný,j ɛ ɟ ɪ n ɛ t͡ʃ n iː
jedinkrát,j ɛ ɟ ɪ n k r aː t
jedinou,j ɛ ɟ ɪ n ɔ ʊ̯
jediná,j ɛ ɟ ɪ n aː
jediné,j ɛ ɟ ɪ n ɛː
jediný,j ɛ ɟ ɪ n iː
jediným,j ɛ ɟ ɪ n iː m
jedině,j ɛ ɟ ɪ ɲ ɛ
jedle,ˈ j ɛ d l ɛ
jedli,j ɛ d l ɪ
jedlička,j ɛ d l ɪ t͡ʃ k a
jedlový,j ɛ d l ɔ v iː
jedlánek,j ɛ d l aː n ɛ k
jedlí,j ɛ d l iː
jedlý,j ɛ d l iː
jedna,j ɛ d n a
jednacím,j ɛ d n a t͡s iː m
jednadvacet,j ɛ d n a d v a t͡s ɛ t
jednadvacetiletou,j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t ɔ ʊ̯
jednadvacetiletá,j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t aː
jednadvacetiletého,j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t ɛː ɦ ɔ
jednadvacetiletý,j ɛ d n a d v a t͡s ɛ c ɪ l ɛ t iː
jednak,j ɛ d n a k
jednal,j ɛ d n a l
jednala,j ɛ d n a l a
jednasedmdesátiletý,j ɛ d n a s ɛ d m̩ d ɛ s aː c ɪ l ɛ t iː
jednasedmdesátiletý,j ɛ d n a s ɛ d ʊ m d ɛ s aː c ɪ l ɛ t iː
jednat,j ɛ d n a t
jednatřicetiletá,j ɛ d n a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t aː
jednatřicetileté,j ɛ d n a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɛː
jednatřicetiletému,j ɛ d n a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɛː m ʊ
jednatřicetiletý,j ɛ d n a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t iː
jednačtyřicetiletý,j ɛ d n a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
jednašedesátiletý,j ɛ d n a ʃ ɛ d ɛ s aː c ɪ l ɛ t iː
jednička,ˈ j ɛ d ɲ ɪ t͡ʃ k a
jedničky,ˈ j ɛ d ɲ ɪ t͡ʃ k ɪ
jedničkář,j ɛ d ɲ ɪ t ʃ k aː r̝̊
jednobuněčný,j ɛ d n ɔ b ʊ ɲ ɛ t͡ʃ n iː
jednoduchý,j ɛ d n ɔ d ʊ x iː
jednoduše,j ɛ d n ɔ d ʊ ʃ ɛ
jednoduší,j ɛ d n ɔ d ʊ ʃ iː
jednodušší,j ɛ d n ɔ d ʊ ʃ iː
jednoděložný,j ɛ d n ɔ ɟ ɛ l ɔ ʒ n iː
jednohlasné,j ɛ d n ɔ ɦ l a s n ɛː
jednohlasný,j ɛ d n ɔ ɦ l a s n iː
jednohlavý,j ɛ d n ɔ ɦ l a v iː
jednoho,j ɛ d n ɔ ɦ ɔ
jednohubka,j ɛ d n ɔ ɦ ʊ p k a
jednokolejné,j ɛ d n ɔ k ɔ l ɛ j n ɛː
jednokolejný,j ɛ d n ɔ k ɔ l ɛ j n iː
jednokomorové,j ɛ d n ɔ k ɔ m ɔ r ɔ v ɛː
jednokomorový,j ɛ d n ɔ k ɔ m ɔ r ɔ v iː
jednoletka,j ɛ d n ɔ l ɛ t k a
jednom,ˈ j ɛ d n ɔ m
jednooký,ˈ j ɛ d n ɔ ʔ ɔ k iː
jednopatrový,j ɛ d n ɔ p a t r ɔ v iː
jednopatrovými,j ɛ d n ɔ p a t r ɔ v iː m ɪ
jednoprocentní,j ɛ d n ɔ p r ɔ t͡s ɛ n t ɲ iː
jednorohý,j ɛ d n ɔ r o ɦ iː
jednorožec,j ɛ d n ɔ r ɔ ʒ ɛ t͡s
jednorožec,ˈ j ɛ d n ɔ r ɔ ʒ ɛ t͡s
jednoruký,j ɛ d n ɔ r ʊ k iː
jednorázový,j ɛ d n ɔ r aː z ɔ v iː
jednoslabičný,j ɛ d n ɔ s l a b ɪ t͡ʃ n iː
jednoslovný,j ɛ d n ɔ s l ɔ v n iː
jednosměrné,j ɛ d n ɔ s m ɲ ɛ r n ɛː
jednosměrný,j ɛ d n ɔ s m ɲ ɛ r n iː
jednostranný,j ɛ d n ɔ s t r a n iː
jednota,j ɛ d n ɔ t a
jednotce,j ɛ d n ɔ t t͡s ɛ
jednotek,j ɛ d n ɔ t ɛ k
jednotka,j ɛ d n ɔ t k a
jednotkami,j ɛ d n ɔ t k a m ɪ
jednotko,j ɛ d n ɔ t k ɔ
jednotkou,j ɛ d n ɔ t k ɔ ʊ̯
jednotku,j ɛ d n ɔ t k ʊ
jednotky,j ɛ d n ɔ t k ɪ
jednotkách,j ɛ d n ɔ t k aː x
jednotkám,j ɛ d n ɔ t k aː m
jednotlivci,j ɛ d n ɔ t l ɪ f t͡s ɪ
jednotlivec,j ɛ d n ɔ t l ɪ v ɛ t͡s
jednotlivé,j ɛ d n ɔ t l ɪ v ɛː
jednotlivý,j ɛ d n ɔ t l ɪ v iː
jednotlivých,j ɛ d n ɔ t l ɪ v iː x
jednotní,j ɛ d n ɔ t ɲ iː
jednotný,j ɛ d n ɔ t n iː
jednotvárný,j ɛ d n ɔ t v aː r n iː
jednotvárně,j ɛ d n ɔ t v aː r ɲ ɛ
jednotě,j ɛ d n ɔ c ɛ
jednotřídka,j ɛ d n ɔ t r̝̊ iː t k a
jednou,j ɛ d n ɔ ʊ̯
jednovaječný,j ɛ d n ɔ v a j ɛ t͡ʃ n iː
jednoveslice,j ɛ d n ɔ v ɛ s l ɪ t͡s ɛ
jednoznačný,j ɛ d n ɔ z n a t͡ʃ n iː
jednu,j ɛ d n ʊ
jedny,j ɛ d n ɪ
jedná,j ɛ d n aː
jednání,j ɛ d n aː ɲ iː
jedné,j ɛ d n ɛː
jedním,j ɛ d ɲ iː m
jedou,j ɛ d ɔ ʊ̯
jedouc,j ɛ d ɔ ʊ̯ t͡s
jedouce,j ɛ d ɔ ʊ̯ t͡s ɛ
jedoucího,j ɛ d ɔ ʊ̯ t͡s iː ɦ ɔ
jedovaté,j ɛ d ɔ v a t ɛː
jedovatý,j ɛ d ɔ v a t iː
jedovatější,j ɛ d ɔ v a c ɛ j ʃ iː
jedovka,j ɛ d ɔ f k a
jedový,j ɛ d ɔ v iː
jedu,j ɛ d ʊ
jehelní,j ɛ ɦ ɛ l ɲ iː
jehla,j ɛ ɦ l a
jehlan,j ɛ ɦ l a n
jehlic,j ɛ ɦ l̩ ɪ t͡s
jehlice,j ɛ ɦ l ɪ t͡s ɛ
jehlicemi,j ɛ ɦ l̩ ɪ t͡s ɛ m ɪ
jehlici,j ɛ ɦ l̩ ɪ t͡s ɪ
jehlicí,j ɛ ɦ l̩ ɪ t͡s iː
jehlicích,j ɛ ɦ l̩ ɪ t͡s iː x
jehlicím,j ɛ ɦ l̩ ɪ t͡s iː m
jehlička,j ɛ ɦ l̩ ɪ t͡ʃ k a
jehličnan,j ɛ ɦ l ɪ t͡ʃ n a n
jehličnatý,j ɛ ɦ l ɪ t͡ʃ n a t iː
jehličí,j ɛ ɦ l ɪ t͡ʃ iː
jehličím,j ɛ ɦ l̩ ɪ t͡ʃ iː m
jehlou,j ɛ ɦ l ɔ ʊ̯
jehlový,j ɛ ɦ l ɔ v iː
jehně,j ɛ ɦ ɲ ɛ
jehněda,j ɛ ɦ ɲ ɛ d a
jeho,ˈ j ɛ ɦ ɔ
jehova,j ɛ ɦ ɔ v a
jehož,j ɛ ɦ ɔ ʃ
jehňátko,j ɛ ɦ ɲ aː t k ɔ
jej,j ɛ j
jejej,j ɛ j ɛ j
jejich,j ɛ j ɪ x
jejichž,j ɛ j ɪ x ʃ
jejkov,j ɛ j k ɔ f
její,ˈ j ɛ j iː
jejích,j ɛ j iː x
jejího,j ɛ j iː ɦ ɔ
jejíhož,j ɛ j iː ɦ ɔ ʃ
jejím,j ɛ j iː m
jejími,j ɛ j iː m ɪ
jejímu,j ɛ j iː m ʊ
jejíž,j ɛ j iː ʃ
jekl,j ɛ k l̩
jel,j ɛ l
jela,j ɛ l a
jelec,j ɛ l ɛ t͡s
jelen,ˈ j ɛ l ɛ n
jeleni,j ɛ l ɛ ɲ ɪ
jelenice,j ɛ l ɛ ɲ ɪ t͡s ɛ
jelení,j ɛ l ɛ ɲ iː
jeleních,j ɛ l ɛ ɲ iː x
jelikož,j ɛ l ɪ k ɔ ʃ
jelimánek,j ɛ l ɪ m aː n ɛ k
jelito,j ɛ l ɪ t ɔ
jelínek,j ɛ l iː n ɛ k
jemen,j ɛ m ɛ n
jemenka,j ɛ m ɛ ŋ k a
jemenský,j ɛ m ɛ n s k iː
jemenu,j ɛ m ɛ n ʊ
jemnosrstý,j ɛ m n ɔ s r̩ s t iː
jemný,j ɛ m n iː
jemně,j ɛ m ɲ ɛ
jemnější,j ɛ m ɲ ɛ j ʃ iː
jemu,j ɛ m ʊ
jemuž,j ɛ m ʊ ʃ
jen,j ɛ n
jena,j ɛ n a
jene,j ɛ n ɛ
jenisej,j ɛ n ɪ s ɛ j
jenom,j ɛ n ɔ m
jenomže,ˈ j ɛ n ɔ m ʒ ɛ
jenáček,j ɛ n aː t͡ʃ ɛ k
jeně,j ɛ ɲ ɛ
jenž,j ɛ n ʃ
jenže,j ɛ n ʒ ɛ
jepičí,j ɛ p ɪ t͡ʃ iː
jeptiška,j ɛ p c ɪ ʃ k a
jerej,j ɛ r ɛ j
jeremiáda,ˈ j ɛ r ɛ m ɪ j aː d a
jerevan,j ɛ r ɛ v a n
jereš,j ɛ r ɛ ʃ
jerichový,j ɛ r ɪ x ɔ v iː
jerlín,j ɛ r l iː n
jeronýma,j ɛ r ɔ n iː m a
jeruzalém,j ɛ r ʊ z a l ɛː m
jeruzalémanka,j ɛ r ʊ z a l ɛː m a ŋ k a
jeruzalémský,j ɛ r ʊ z a l ɛː m s k iː
jesen,j ɛ s ɛ n
jesenický,j ɛ s ɛ ɲ ɪ t͡s k iː
jesenka,j ɛ s ɛ ŋ k a
jeseník,j ɛ s ɛ ɲ iː k
jeseníky,j ɛ s ɛ ɲ iː k ɪ
jeseter,j ɛ s ɛ t ɛ r
jeseň,j ɛ s ɛ ɲ
jeskyni,j ɛ s k ɪ ɲ ɪ
jeskynní,j ɛ s k ɪ ɲ iː
jeskyních,j ɛ s k ɪ ɲ iː x
jeskyně,j ɛ s k ɪ ɲ ɛ
jeskyněmi,j ɛ s k ɪ ɲ ɛ m ɪ
jeskyňka,j ɛ s k ɪ ɲ k a
jeskyňáře,j ɛ s k ɪ ɲ aː r̝ ɛ
jesle,j ɛ s l ɛ
jespák,j ɛ s p aː k
jest,j ɛ s t
jestli,j ɛ s t l ɪ
jestliže,j ɛ s t l ɪ ʒ ɛ
jestřáb,ˈ j ɛ s t r̝̊ aː p
jestřábí,j ɛ s t r̝̊ aː b iː
jet,j ɛ t
jeti,j ɛ c ɪ
jev,j ɛ f
jevit,j ɛ v ɪ t
jeviti,j ɛ v ɪ c ɪ
jevištní,j ɛ v ɪ ʃ t ɲ iː
jeviště,j ɛ v ɪ ʃ c ɛ
jez,j ɛ s
jezdec,j ɛ z d ɛ t͡s
jezdi,j ɛ z ɟ ɪ
jezdily,j ɛ z ɟ ɪ l ɪ
jezdit,j ɛ z ɟ ɪ t
jezditi,j ɛ z ɟ ɪ c ɪ
jezdiv,j ɛ z ɟ ɪ f
jezdkyně,j ɛ s t k ɪ ɲ ɛ
jezdí,j ɛ z ɟ iː
jezdíme,j ɛ z ɟ iː m ɛ
jezerní,j ɛ z ɛ r ɲ iː
jezero,j ɛ z ɛ r ɔ
jezevec,ˈ j ɛ z ɛ v ɛ t͡s
jezevčí,ˈ j ɛ z ɛ f t͡ʃ iː
jezevčík,j ɛ z ɛ f t͡ʃ iː k
jezinka,j ɛ z ɪ ŋ k a
jezovita,j ɛ z ɔ v ɪ t a
jezu,j ɛ z ʊ
jezuita,j ɛ z ʊ ɪ t a
jezuitský,j ɛ z ʊ ɪ t͡s k iː
jezule,j ɛ z ʊ l ɛ
jezulátko,j ɛ z ʊ l aː t k ɔ
jezírko,j ɛ z iː r k ɔ
jež,j ɛ ʃ
ježdík,j ɛ ʒ ɟ iː k
ježek,j ɛ ʒ ɛ k
ježibaba,j ɛ ʒ ɪ b a b a
ježibabí,j ɛ ʒ ɪ b a b iː
ježit,j ɛ ʒ ɪ t
ježišmarja,j ɛ ʒ ɪ ʃ m a r j a
ježková,ˈ j ɛ ʃ k ɔ v aː
ježíš,j ɛ ʒ iː ʃ
ježíšek,j ɛ ʒ iː ʃ ɛ k
ježíšmarjá,j ɛ ʒ iː ʃ m a r j aː
ježíšmarjá,j ɛ ʒ iː ʃ m aː r j aː
ježíšmarjá,j ɛ ʒ ɪ ʃ m a r j aː
ježíšmarjá,j ɛ ʒ ɪ ʃ m aː r j aː
ježíšův,j ɛ ʒ iː ʃ uː f
jho,j ɦ ɔ
jičín,j ɪ t ʃ iː n
jičínsko,j ɪ t͡ʃ iː n s k ɔ
ji,j ɪ
jiřina,j ɪ r̝ ɪ n a
jiřinář,j ɪ r̝ ɪ n aː r̝̊
jiřička,j ɪ r̝ ɪ t͡ʃ k a
jiřská,ˈ j ɪ r̝̊ s k aː
jiřák,j ɪ r̝ aː k
jiří,j ɪ r̝ iː
jiřího,j ɪ r̝ iː ɦ ɔ
jiřík,j ɪ r̝ iː k
jich,j ɪ x
jichž,j ɪ x ʃ
jidiš,j ɪ d ɪ ʃ
jidáš,ˈ j ɪ d aː ʃ
jidášník,ˈ j ɪ d aː ʃ ɲ iː k
jidášův,ˈ j ɪ d aː ʃ uː f
jih,j ɪ x
jihlava,j ɪ ɦ l a v a
jihlavsko,j ɪ ɦ l a f s k ɔ
jihlavský,j ɪ ɦ l a f s k iː
jihlavy,j ɪ ɦ l a v ɪ
jihlavák,j ɪ ɦ l a v aː k
jihlavě,j ɪ ɦ l a v j ɛ
jihnout,j ɪ ɦ n ɔ ʊ̯ t
jihnouti,j ɪ ɦ n ɔ ʊ̯ c ɪ
