ăl,ə l
egalitate,e ɡ a l i ˈ t a t e
egaliza,e ɡ a l i ˈ z a
egalizare,e ɡ a l i ˈ z a r e
egalizator,e ɡ a l i z a ˈ t o r
egalizor,e ɡ a l i ˈ z o r
eghilet,e ɡ i ˈ l e t
egidă,e ˈ d ʒ i d ə
egipt,e ˈ d ʒ i p t
egiptolog,e d ʒ i p t o ˈ l o ɡ
egiptologie,e d ʒ i p t o l o ˈ d ʒ i e
egipțiană,e d ʒ i p t͡s i ˈ a n ə
eglindisi,e ɡ l i n d i ˈ s i
eglogă,e ˈ ɡ l o ɡ ə
egocentric,e ɡ o ˈ t͡ʃ e n t r i k
egocentrism,e ɡ o t͡ʃ e n ˈ t r i s m
egoism,e ɡ o ˈ i s m
egoist,e ɡ o ˈ i s t
egolatrie,e ɡ o l a ˈ t r i e
egolatru,e ɡ o ˈ l a t r u
egotism,e ɡ o ˈ t i s m
egotist,e ɡ o ˈ t i s t
egrena,e ɡ r e ˈ n a
egrenare,e ɡ r e ˈ n a r e
egrenat,e ɡ r e ˈ n a t
egretă,e ˈ ɡ r e t ə
egumen,e ɡ u ˈ m e n
egumeni,e ɡ u m e ˈ n i
egumenă,e ɡ u ˈ m e n ə
egutare,e ɡ u ˈ t a r e
egutor,e ɡ u ˈ t o r
eh,e h
ehe,e ˈ h e
ehehei,e h e ˈ h e j
ehei,e ˈ h e j
ei,e j
ei,j e j
eideri,ˈ e j d e r ʲ
eidetic,e i ˈ d e t i k
eidetism,e i d e ˈ t i s m
einsteiniu,a j n ˈ ʃ t a j n j u
ejacula,e ʒ a k u ˈ l a
ejaculai,e ʒ a k u ˈ l a j
ejaculam,e ʒ a k u ˈ l a m
ejaculare,e ʒ a k u ˈ l a r e
ejaculară,e ʒ a k u ˈ l a r ə
ejacularăm,e ʒ a k u ˈ l a r ə m
ejacularăți,e ʒ a k u ˈ l a r ə t͡s ʲ
ejaculase,e ʒ a k u ˈ l a s e
ejaculasem,e ʒ a k u ˈ l a s e m
ejaculaseră,e ʒ a k u ˈ l a s e r ə
ejaculaserăm,e ʒ a k u ˈ l a s e r ə m
ejaculaserăți,e ʒ a k u ˈ l a s e r ə t͡s ʲ
ejaculaseși,e ʒ a k u ˈ l a s e ʃ ʲ
ejaculat,e ʒ a k u ˈ l a t
ejaculau,e ʒ a k u ˈ l a w
ejaculași,e ʒ a k u ˈ l a ʃ ʲ
ejaculați,e ʒ a k u ˈ l a t͡s ʲ
ejaculație,e ʒ a k u ˈ l a t͡s i e
ejaculează,e ʒ a k u ˈ l e̯ a z ə
ejaculez,e ʒ a k u ˈ l e z
ejaculeze,e ʒ a k u ˈ l e z e
ejaculezi,e ʒ a k u ˈ l e z ʲ
ejaculă,e ʒ a k u ˈ l ə
ejaculăm,e ʒ a k u ˈ l ə m
ejector,e ʒ e k ˈ t o r
ejecție,e ˈ ʒ e k t͡s i e
el,j e l
elabora,e l a b o ˈ r a
elaborare,e l a b o ˈ r a r e
elagaj,e l a ˈ ɡ a ʒ
elagare,e l a ˈ ɡ a r e
elan,e ˈ l a n
elansa,e l a n ˈ s a
elansare,e l a n ˈ s a r e
elansat,e l a n ˈ s a t
elastic,e ˈ l a s t i k
elasticitate,e l a s t i t͡ʃ i ˈ t a t e
elastină,e l a s ˈ t i n ə
elastomecanică,e l a s t o m e ˈ k a n i k ə
elastomer,e l a s t o ˈ m e r
elaterid,e l a t e ˈ r i d
eleșteu,e l e ʃ ˈ t e w
ele,ˈ j e l e
eleatic,e l e ˈ a t i k
electiv,e l e k ˈ t i v
electivitate,e l e k t i v i ˈ t a t e
electoare,e l e k ˈ t o̯ a r e
elector,e l e k ˈ t o r
electoral,e l e k t o ˈ r a l
electorat,e l e k t o ˈ r a t
electret,e l e k ˈ t r e t
electric,e ˈ l e k t r i k
electrician,e l e k t r i t͡ʃ i ˈ a n
electriciană,e l e k t r i t͡ʃ i ˈ a n ə
electriciene,e l e k t r i t͡ʃ i ˈ e n e
electricieni,e l e k t r i t͡ʃ i ˈ e n ʲ
electricitate,e l e k t r i t͡ʃ i ˈ t a t e
electrifica,e l e k t r i f i ˈ k a
electrificare,e l e k t r i f i ˈ k a r e
electrificat,e l e k t r i f i ˈ k a t
electriza,e l e k t r i ˈ z a
electrizabil,e l e k t r i ˈ z a b i l
electrizant,e l e k t r i ˈ z a n t
electrizare,e l e k t r i ˈ z a r e
electrizat,e l e k t r i ˈ z a t
electroșoc,e l e k t r o ˈ ʃ o k
electroacupunctură,e l e k t r o a k u p u n k ˈ t u r ə
electroacustic,e l e k t r o a ˈ k u s t i k
electroacustică,e l e k t r o a ˈ k u s t i k ə
electroanaliză,e l e k t r o a n a ˈ l i z ə
electrobiologic,e l e k t r o b i o ˈ l o d ʒ i k
electrobiologie,e l e k t r o b i o l o ˈ d ʒ i e
electrobuz,e l e k t r o ˈ b u z
electrocaloric,e l e k t r o k a ˈ l o r i k
electrocapilaritate,e l e k t r o k a p i l a r i ˈ t a t e
electrocar,e l e k t r o ˈ k a r
electrocarist,e l e k t r o k a ˈ r i s t
electrocasnic,e l e k t r o ˈ k a s n i k
electrocaustică,e l e k t r o k a ˈ u s t i k ə
electrocauterizare,e l e k t r o k a u t e r i ˈ z a r e
electroceramică,e l e k t r o t͡ʃ e ˈ r a m i k ə
electrochimic,e l e k t r o ˈ k i m i k
electrochimograf,e l e k t r o k i m o ˈ ɡ r a f
electrochimogramă,e l e k t r o k i m o ˈ ɡ r a m ə
electrochirurgie,e l e k t r o k i r u r ˈ d ʒ i e
electrocinetic,e l e k t r o t͡ʃ i ˈ n e t i k
electrocinetică,e l e k t r o t͡ʃ i ˈ n e t i k ə
electrocoagula,e l e k t r o k o a ɡ u ˈ l a
electrocoagulare,e l e k t r o k o a ɡ u ˈ l a r e
electrocomunicație,e l e k t r o k o m u n i ˈ k a t͡s i e
electroconcentrare,e l e k t r o k o n t͡ʃ e n ˈ t r a r e
electroconductibilitate,e l e k t r o k o n d u k t i b i l i ˈ t a t e
electroconductor,e l e k t r o k o n d u k ˈ t o r
electrocorticografie,e l e k t r o k o r t i k o ɡ r a ˈ f i e
electrocultură,e l e k t r o k u l ˈ t u r ə
electrocuta,e l e k t r o k u ˈ t a
electrocutare,e l e k t r o k u ˈ t a r e
electrocăldură,e l e k t r o k ə l ˈ d u r ə
electrod,e l e k ˈ t r o d
electrodiagnostic,e l e k t r o d i a ɡ ˈ n o s t i k
electrodiagnoză,e l e k t r o d i a ɡ ˈ n o z ə
electrodializă,e l e k t r o d i a ˈ l i z ə
electrodinam,e l e k t r o d i ˈ n a m
electrodinamic,e l e k t r o d i ˈ n a m i k
electrodinamică,e l e k t r o d i ˈ n a m i k ə
electrodinamism,e l e k t r o d i n a ˈ m i s m
electroenergetic,e l e k t r o e n e r ˈ d ʒ e t i k
electrofiltru,e l e k t r o ˈ f i l t r u
electrofiziologie,e l e k t r o f i z i o l o ˈ d ʒ i e
electrofon,e l e k t r o ˈ f o n
electrofor,e l e k t r o ˈ f o r
electroforegramă,e l e k t r o f o r e ˈ ɡ r a m ə
electroforetic,e l e k t r o f o ˈ r e t i k
electroforeză,e l e k t r o f o ˈ r e z ə
electrofotografie,e l e k t r o f o t o ɡ r a ˈ f i e
electrogen,e l e k t r o ˈ d ʒ e n
electroglotograf,e l e k t r o ɡ l o t o ˈ ɡ r a f
electroglotogramă,e l e k t r o ɡ l o t o ˈ ɡ r a m ə
electroglotospectrografie,e l e k t r o ɡ l o t o s p e k t r o ɡ r a ˈ f i e
electrograf,e l e k t r o ˈ ɡ r a f
electrografie,e l e k t r o ɡ r a ˈ f i e
electrogravimetrie,e l e k t r o ɡ r a v i m e ˈ t r i e
electrogravură,e l e k t r o ɡ r a ˈ v u r ə
electrolit,e l e k t r o ˈ l i t
electrolitic,e l e k t r o ˈ l i t i k
electrolizor,e l e k t r o l i ˈ z o r
electroliză,e l e k t r o ˈ l i z ə
electroluminescență,e l e k t r o l u m i n e s ˈ t͡ʃ e n t͡s ə
electromagnet,e l e k t r o m a ɡ ˈ n e t
electromagnetic,e l e k t r o m a ɡ ˈ n e t i k
electromagnetism,e l e k t r o m a ɡ n e ˈ t i s m
electromecanic,e l e k t r o m e ˈ k a n i k
electromecanică,e l e k t r o m e ˈ k a n i k ə
electromecanoterapie,e l e k t r o m e k a n o t e r a ˈ p i e
electromenajer,e l e k t r o m e n a ˈ ʒ e r
electrometalurgie,e l e k t r o m e t a l u r ˈ d ʒ i e
electrometrie,e l e k t r o m e ˈ t r i e
electrometru,e l e k t r o ˈ m e t r u
electromobil,e l e k t r o m o ˈ b i l
electromotor,e l e k t r o m o ˈ t o r
electron,e l e k ˈ t r o n
electronarcoză,e l e k t r o n a r ˈ k o z ə
electronavigație,e l e k t r o n a v i ˈ ɡ a t͡s i e
electronegativ,e l e k t r o n e ɡ a ˈ t i v
electronegativitate,e l e k t r o n e ɡ a t i v i ˈ t a t e
electronic,e l e k ˈ t r o n i k
electronică,e l e k ˈ t r o n i k ə
electronist,e l e k t r o ˈ n i s t
electronistă,e l e k t r o ˈ n i s t ə
electroniza,e l e k t r o n i ˈ z a
electronizare,e l e k t r o n i ˈ z a r e
electronizat,e l e k t r o n i ˈ z a t
electronograf,e l e k t r o n o ˈ ɡ r a f
electronografic,e l e k t r o n o ˈ ɡ r a f i k
electronografie,e l e k t r o n o ɡ r a ˈ f i e
electronomicroscopie,e l e k t r o n o m i k r o s k o ˈ p i e
electronopunctură,e l e k t r o n o p u n k ˈ t u r ə
electrooptic,e l e k t r o ˈ o p t i k
electrooptică,e l e k t r o ˈ o p t i k ə
electroosmotic,e l e k t r o o s ˈ m o t i k
electroosmoză,e l e k t r o o s ˈ m o z ə
electropatologie,e l e k t r o p a t o l o ˈ d ʒ i e
electroporțelan,e l e k t r o p o r t͡s e ˈ l a n
electropozitiv,e l e k t r o p o z i ˈ t i v
electropozitivitate,e l e k t r o p o z i t i v i ˈ t a t e
electroprelucrare,e l e k t r o p r e l u ˈ k r a r e
electropunctură,e l e k t r o p u n k ˈ t u r ə
electroscop,e l e k t r o s ˈ k o p
electroscopic,e l e k t r o s ˈ k o p i k
electroscopie,e l e k t r o s k o ˈ p i e
electrosecuritate,e l e k t r o s e k u r i ˈ t a t e
electrosomn,e l e k t r o ˈ s o m n
electrostatic,e l e k t r o s ˈ t a t i k
electrostatică,e l e k t r o s ˈ t a t i k ə
electrostimulare,e l e k t r o s t i m u ˈ l a r e
electrotehnic,e l e k t r o ˈ t e h n i k
electrotehnică,e l e k t r o ˈ t e h n i k ə
electroterapic,e l e k t r o t e ˈ r a p i k
electroterapie,e l e k t r o t e r a ˈ p i e
electrotermic,e l e k t r o ˈ t e r m i k
electrotipic,e l e k t r o ˈ t i p i k
electrotipie,e l e k t r o t i ˈ p i e
electrotomie,e l e k t r o t o ˈ m i e
electrotonus,e l e k t r o ˈ t o n u s
electrotraumatism,e l e k t r o t r a u m a ˈ t i s m
electrotropism,e l e k t r o t r o ˈ p i s m
electrovalență,e l e k t r o v a ˈ l e n t͡s ə
electrum,e ˈ l e k t r u m
elefant,e l e ˈ f a n t
elefantiază,e l e f a n t i ˈ a z ə
elefantic,e l e ˈ f a n t i k
elefantin,e l e f a n ˈ t i n
elefterescu,e l e f t e ˈ r e s k u
elegant,e l e ˈ ɡ a n t
eleganță,e l e ˈ ɡ a n t͡s ə
elegiac,e l e d ʒ i ˈ a k
elegie,e l e ˈ d ʒ i e
elei,e ˈ l e j
elektron,e l e k ˈ t r o n
element,e l e ˈ m e n t
elementar,e l e m e n ˈ t a r
elementaritate,e l e m e n t a r i ˈ t a t e
elen,e ˈ l e n
elenescu,e l e ˈ n e s k u
elenism,e l e ˈ n i s m
elenist,e l e ˈ n i s t
elenistic,e l e ˈ n i s t i k
elenistă,e l e ˈ n i s t ə
elenă,e ˈ l e n ə
eleron,e l e ˈ r o n
elev,e ˈ l e v
eleva,e l e ˈ v a
eleva,e ˈ l e v a
elevat,e l e ˈ v a t
elevator,e l e v a ˈ t o r
elevatorist,e l e v a t o ˈ r i s t
elevație,e l e ˈ v a t͡s i e
eleve,e ˈ l e v e
eleveză,e l e ˈ v e z ə
elevă,e ˈ l e v ə
elf,e l f
elibera,e l i b e ˈ r a
eliberare,e l i b e ˈ r a r e
eliberator,e l i b e r a ˈ t o r
elice,e ˈ l i t͡ʃ e
elicopter,e l i k o p ˈ t e r
elicopterist,e l i k o p t e ˈ r i s t
elicostat,e l i k o s ˈ t a t
elida,e l i ˈ d a
elidare,e l i ˈ d a r e
elidată,e l i ˈ d a t ə
eligibil,e l i ˈ d ʒ i b i l
eligibilitate,e l i d ʒ i b i l i ˈ t a t e
elimina,e l i m i ˈ n a
eliminare,e l i m i ˈ n a r e
eliminat,e l i m i ˈ n a t
eliminator,e l i m i n a ˈ t o r
elimini,e ˈ l i m i n ʲ
elin,e ˈ l i n
elindă,e ˈ l i n d ə
elinesc,e l i ˈ n e s k
elinește,e l i ˈ n e ʃ t e
elinică,e ˈ l i n i k ə
elinvar,e l i n ˈ v a r
eliofob,e l i o ˈ f o b
eliport,e l i ˈ p o r t
elipsograf,e l i p s o ˈ ɡ r a f
elipsă,e ˈ l i p s ə
eliptic,e ˈ l i p t i k
elipticitate,e l i p t i t͡ʃ i ˈ t a t e
elisabetan,e l i s a b e ˈ t a n
elitar,e l i ˈ t a r
elitism,e l i ˈ t i s m
elitist,e l i ˈ t i s t
elitrotomie,e l i t r o t o ˈ m i e
elitră,e ˈ l i t r ə
elită,e ˈ l i t ə
elocință,e l o ˈ t͡ʃ i n t͡s ə
elocvent,e l o k ˈ v e n t
elocvență,e l o k ˈ v e n t͡s ə
elogia,e l o d ʒ i ˈ a
elogios,e l o d ʒ i ˈ o s
elongat,e l o n ˈ ɡ a t
elongație,e l o n ˈ ɡ a t͡s i e
eluare,e l u ˈ a r e
elucida,e l u t͡ʃ i ˈ d a
elucidare,e l u t͡ʃ i ˈ d a r e
elucubrant,e l u k u ˈ b r a n t
elucubrație,e l u k u ˈ b r a t͡s i e
eluda,e l u ˈ d a
eludare,e l u ˈ d a r e
eluvial,e l u v i ˈ a l
elvetic,e l ˈ v e t i k
elveția,e l ˈ v e t͡s i a
elvețian,e l v e t͡s i ˈ a n
elvețiancă,e l v e t͡s i ˈ a n k ə
elvețiană,e l v e t͡s i ˈ a n ə
elzevir,e l z e ˈ v i r
emaciație,e m a ˈ t͡ʃ j a t͡s i e
emailaj,e m a j ˈ l a ʒ
emailoare,e m a j ˈ l o̯ a r e
emana,e m a ˈ n a
emanare,e m a ˈ n a r e
emanatism,e m a n a ˈ t i s m
emanație,e m a ˈ n a t͡s i e
emanaționism,e m a n a t͡s i o ˈ n i s m
emancipa,e m a n t͡ʃ i ˈ p a
emancipare,e m a n t͡ʃ i ˈ p a r e
emancipat,e m a n t͡ʃ i ˈ p a t
emancipație,e m a n t͡ʃ i ˈ p a t͡s i e
emarginat,e m a r d ʒ i ˈ n a t
emascula,e m a s k u ˈ l a
emasculație,e m a s k u ˈ l a t͡s i e
embatic,e m ˈ b a t i k
embaticar,e m b a t i ˈ k a r
embaticară,e m b a t i ˈ k a r ə
emblematic,e m b l e ˈ m a t i k
emblemă,e m ˈ b l e m ə
embolie,e m b o ˈ l i e
embolit,e m b o ˈ l i t
embolus,e m ˈ b o l u s
embriogeneză,e m b r i o d ʒ e ˈ n e z ə
embriolog,e m b r i o ˈ l o ɡ
embriologic,e m b r i o ˈ l o d ʒ i k
embriologie,e m b r i o l o ˈ d ʒ i e
embriologă,e m b r i o ˈ l o ɡ ə
embrion,e m b r i ˈ o n
embrionar,e m b r i o ˈ n a r
emden,ˈ e m d e n
emenagog,e m e n a ˈ ɡ o ɡ
emenda,e m e n ˈ d a
emendație,e m e n ˈ d a t͡s i e
emerge,e ˈ m e r d ʒ e
emergent,e m e r ˈ d ʒ e n t
emergență,e m e r ˈ d ʒ e n t͡s ə
emeri,e m e ˈ r i
emerit,e m e ˈ r i t
emetic,e ˈ m e t i k
emetrop,e m e ˈ t r o p
emetropie,e m e t r o ˈ p i e
emfatic,e m ˈ f a t i k
emfază,e m ˈ f a z ə
emfiteoză,e m f i t e ˈ o z ə
emfizem,e m f i ˈ z e m
emiciclu,e m i t͡ʃ i k l u
emigra,e m i ˈ ɡ r a
emigrant,e m i ˈ ɡ r a n t
emigrantă,e m i ˈ ɡ r a n t ə
emigrare,e m i ˈ ɡ r a r e
emigrat,e m i ˈ ɡ r a t
emigrată,e m i ˈ ɡ r a t ə
emigrație,e m i ˈ ɡ r a t͡s i e
emil,e ˈ m i l
eminamente,e m i n a ˈ m e n t e
eminent,e m i ˈ n e n t
eminență,e m i ˈ n e n t͡s ə
eminescian,e m i n e s t͡ʃ i ˈ a n
eminescianism,e m i n e s t͡ʃ i a ˈ n i s m
eminescolog,e m i n e s k o ˈ l o ɡ
eminescologie,e m i n e s k o l o ˈ d ʒ i e
eminescologă,e m i n e s k o ˈ l o ɡ ə
eminescu,e m i ˈ n e s k u
emir,e ˈ m i r
emirat,e m i ˈ r a t
emisar,e m i ˈ s a r
emisferic,e m i s ˈ f e r i k
emisferă,e m i s ˈ f e r ə
emisiv,e m i ˈ s i v
emistih,e m i s ˈ t i h
emitanță,e m i ˈ t a n t͡s ə
emite,e ˈ m i t e
emitent,e m i ˈ t e n t
emitere,e m i ˈ t e r e
emitor,e m i ˈ t o r
emițător,e m i t͡s ə ˈ t o r
emolient,e m o l i ˈ e n t
emolument,e m o l u ˈ m e n t
emondaj,e m o n ˈ d a ʒ
emondare,e m o n ˈ d a r e
emondație,e m o n ˈ d a t͡s i e
emondor,e m o n ˈ d o r
emotiv,e m o ˈ t i v
emotivism,e m o t i ˈ v i s m
emotivitate,e m o t i v i ˈ t a t e
emoție,e ˈ m o t͡s i e
emoționa,e m o t͡s i o ˈ n a
emoțional,e m o t͡s i o ˈ n a l
emoționat,e m o t͡s i o ˈ n a t
empatie,e m p a ˈ t i j e
empiric,e m ˈ p i r i k
empiriocritic,e m p i r i o ˈ k r i t i k
empiriocriticism,e m p i r i o k r i t i ˈ t͡ʃ i s m
empiriomonism,e m p i r i o m o ˈ n i s m
empiriosimbolism,e m p i r i o s i m b o ˈ l i s m
empirism,e m p i ˈ r i s m
empirist,e m p i ˈ r i s t
empiristă,e m p i ˈ r i s t ə
emplastru,e m ˈ p l a s t r u
emu,ˈ e m u
emul,e ˈ m u l
emulație,e m u ˈ l a t͡s i e
emulgator,e m u l ɡ a ˈ t o r
emulsionabil,e m u l s i o ˈ n a b i l
emulsiv,e m u l ˈ s i v
emulsor,e m u l ˈ s o r
enăchescu,e n ə ˈ k e s k u
enătescu,e n ə ˈ t e s k u
enantem,e n a n ˈ t e m
enantiomorfism,e n a n t i o m o r ˈ f i s m
enargit,e n a r ˈ d ʒ i t
enarmonic,e n a r ˈ m o n i k
encarpă,e n ˈ k a r p ə
encaustic,e n k a ˈ u s t i k
encaustică,e n k a ˈ u s t i k ə
encefal,e n t͡ʃ e ˈ f a l
encefalic,e n t͡ʃ e ˈ f a l i k
encefalină,e n t͡ʃ e f a ˈ l i n ə
encefalită,e n t͡ʃ e f a ˈ l i t ə
encefalografie,e n t͡ʃ e f a l o ɡ r a ˈ f i e
encefalomielită,e n t͡ʃ e f a l o m i e ˈ l i t ə
encefalopatie,e n t͡ʃ e f a l o p a ˈ t i e
encefaloză,e n t͡ʃ e f a ˈ l o z ə
encescu,e n ˈ t͡ʃ e s k u
enchimoză,e n k i ˈ m o z ə
enciclică,e n ˈ t͡ʃ i k l i k ə
enciclopedia,e n t͡ʃ i k l o p e ˈ d i j a
enciclopedic,e n t͡ʃ i k l o ˈ p e d i k
enciclopedie,e n t͡ʃ i k l o p e ˈ d i j e
enciclopedism,e n t͡ʃ i k l o p e ˈ d i s m
enciclopedist,e n t͡ʃ i k l o p e ˈ d i s t
enciclopedistă,e n t͡ʃ i k l o p e ˈ d i s t ə
enclavă,e n ˈ k l a v ə
enclitic,e n ˈ k l i t i k
encliză,e n ˈ k l i z ə
encomiastic,e n k o m i ˈ a s t i k
encondrom,e n k o n ˈ d r o m
encuțescu,e n k u ˈ t͡s e s k u
endarterită,e n d a r t e ˈ r i t ə
endecagon,e n d e k a ˈ ɡ o n
endecasilab,e n d e k a s i ˈ l a b
endemic,e n ˈ d e m i k
endemicitate,e n d e m i t͡ʃ i ˈ t a t e
endemism,e n d e ˈ m i s m
endoblast,e n d o ˈ b l a s t
endocard,e n d o ˈ k a r d
endocardic,e n d o ˈ k a r d i k
endocardită,e n d o k a r ˈ d i t ə
endocarp,e n d o ˈ k a r p
endocrin,e n d o ˈ k r i n
endocrinolog,e n d o k r i n o ˈ l o ɡ
endocrinologie,e n d o k r i n o l o ˈ d ʒ i e
endocrinologă,e n d o k r i n o ˈ l o ɡ ə
endocrinoterapie,e n d o k r i n o t e r a ˈ p i e
endoderm,e n d o ˈ d e r m
endodermic,e n d o ˈ d e r m i k
endofazie,e n d o f a ˈ z i e
endogen,e n d o ˈ d ʒ e n
endogeneză,e n d o d ʒ e ˈ n e z ə
endolimfă,e n d o ˈ l i m f ə
endolitic,e n d o ˈ l i t i k
endometrial,e n d o m e t r i ˈ a l
endometrită,e n d o m e ˈ t r i t ə
endometru,e n d o ˈ m e t r u
endomitoză,e n d o m i ˈ t o z ə
endomorfism,e n d o m o r ˈ f i s m
endonazal,e n d o n a ˈ z a l
endoparazit,e n d o p a r a ˈ z i t
endoparazită,e n d o p a r a ˈ z i t ə
endoplasmatic,e n d o p l a s ˈ m a t i k
endoplasmă,e n d o ˈ p l a s m ə
endoplastă,e n d o ˈ p l a s t ə
endoradioterapie,e n d o r a d i o t e r a ˈ p i e
endoschelet,e n d o s k e ˈ l e t
endoscop,e n d o s ˈ k o p
endoscopic,e n d o s ˈ k o p i k
endoscopie,e n d o s k o ˈ p i e
endosmoză,e n d o s ˈ m o z ə
endoteliu,e n d o ˈ t e l j u
endoterm,e n d o ˈ t e r m
endotermic,e n d o ˈ t e r m i k
eneagon,e n e a ˈ ɡ o n
eneasilab,e n e a s i ˈ l a b
eneolitic,e n e o ˈ l i t i k
energetic,e n e r ˈ d ʒ e t i k
energetică,e n e r ˈ d ʒ e t i k ə
energetism,e n e r d ʒ e ˈ t i s m
energetist,e n e r d ʒ e ˈ t i s t
energic,e ˈ n e r d ʒ i k
energie,e n e r ˈ d ʒ i j e
energizant,e n e r d ʒ i ˈ z a n t
energometru,e n e r ɡ o ˈ m e t r u
energumen,e n e r ɡ u ˈ m e n
enerva,e n e r ˈ v a
enervant,e n e r ˈ v a n t
enervare,e n e r ˈ v a r e
enervat,e n e r ˈ v a t
enescian,e n e s t͡ʃ i ˈ a n
enescu,e ˈ n e s k u
englez,e n ˈ ɡ l e z
englezesc,e n ɡ l e ˈ z e s k
englezește,e n ɡ l e ˈ z e ʃ t e
engleză,e n ˈ ɡ l e z ə
engobă,e n ˈ ɡ o b ə
engramă,e n ˈ ɡ r a m ə
enigmatic,e n i ɡ ˈ m a t i k
enigmistic,e n i ɡ ˈ m i s t i k
enigmistică,e n i ɡ ˈ m i s t i k ə
enigmă,e ˈ n i ɡ m ə
enigărescu,e n i ɡ ə ˈ r e s k u
enolază,e n o ˈ l a z ə
enologie,e n o l o ˈ d ʒ i e
enoriaș,e n o r i ˈ a ʃ
enoriașă,e n o r i ˈ a ʃ ə
enorie,e n o ˈ r i e
enorm,e ˈ n o r m
enormitate,e n o r m i ˈ t a t e
enot,e ˈ n o t
enotehnică,e n o ˈ t e h n i k ə
entalpie,e n t a l ˈ p i e
enteralgie,e n t e r a l ˈ d ʒ i e
enterectazie,e n t e r e k t a ˈ z i e
enterectomie,e n t e r e k t o ˈ m i e
enteric,e n ˈ t e r i k
enterită,e n t e ˈ r i t ə
enteroanastomoză,e n t e r o a n a s t o ˈ m o z ə
enterobacterie,e n t e r o b a k ˈ t e r i e
enterochinază,e n t e r o k i ˈ n a z ə
enterococ,e n t e r o ˈ k o k
enterocolită,e n t e r o k o ˈ l i t ə
enterogastrită,e n t e r o ɡ a s ˈ t r i t ə
enterogastron,e n t e r o ɡ a s ˈ t r o n
enterogastronă,e n t e r o ɡ a s ˈ t r o n ə
enterohemoragie,e n t e r o h e m o r a ˈ d ʒ i e
enterologie,e n t e r o l o ˈ d ʒ i e
enteromorf,e n t e r o ˈ m o r f
enteropatie,e n t e r o p a ˈ t i e
enterotomie,e n t e r o t o ˈ m i e
entimemă,e n t i ˈ m e m ə
entitate,e n t i ˈ t a t e
entomofag,e n t o m o ˈ f a ɡ
entomofagă,e n t o m o ˈ f a ɡ ə
entomofil,e n t o m o ˈ f i l
entomolog,e n t o m o ˈ l o ɡ
entomologa,e n t o m o ˈ l o ɡ a
entomologe,e n t o m o ˈ l o d ʒ e
entomologi,e n t o m o ˈ l o d ʒ ʲ
entomologic,e n t o m o ˈ l o d ʒ i k
entomologie,e n t o m o l o ˈ d ʒ i e
entomologist,e n t o m o l o ˈ d ʒ i s t
entomologistă,e n t o m o l o ˈ d ʒ i s t ə
entomologă,e n t o m o ˈ l o ɡ ə
entorsă,e n ˈ t o r s ə
entozoar,e n t o z o ˈ a r
entrată,e n ˈ t r a t ə
entropic,e n ˈ t r o p i k
entropie,e n t r o ˈ p i j e
entuziasm,e n t u z i ˈ a s m
entuziasma,e n t u z i a s ˈ m a
entuziasmat,e n t u z i a s ˈ m a t
entuziast,e n t u z i ˈ a s t
enucleație,e n u k l e ˈ a t͡s i e
enumera,e n u m e ˈ r a
enumerare,e n u m e ˈ r a r e
enumerativ,e n u m e r a ˈ t i v
enumerație,e n u m e ˈ r a t͡s i e
enunț,e ˈ n u n t͡s
enunța,e n u n ˈ t͡s a
enunțare,e n u n ˈ t͡s a r e
enunțiativ,e n u n t͡s i a ˈ t i v
enurezis,e n u ˈ r e z i s
enzimatic,e n z i ˈ m a t i k
enzimologi,e n z i m o ˈ l o d ʒ ʲ
enzimologie,e n z i m o l o ˈ d ʒ i j e
enzimă,e n ˈ z i m ə
enzootic,e n z o ˈ o t i k
enzootie,e n z o o ˈ t i e
eolit,e o ˈ l i t
eolitic,e o ˈ l i t i k
eozinofil,e o z i n o ˈ f i l
epactă,e ˈ p a k t ə
epagog,e p a ˈ ɡ o ɡ
epagogic,e p a ˈ ɡ o d ʒ i k
epanalepsă,e p a n a ˈ l e p s ə
epandaj,e p a n ˈ d a ʒ
epanodă,e p a ˈ n o d ə
epanșament,e p a n ʃ a ˈ m e n t
eparhial,e p a r h i ˈ a l
eparven,e p a r ˈ v e n
epata,e p a ˈ t a
epatant,e p a ˈ t a n t
epatare,e p a ˈ t a r e
epavă,e ˈ p a v ə
epecie,e p e ˈ t͡ʃ i e
ependim,e p e n ˈ d i m
epenglu,e ˈ p e n ɡ l u
epentetic,e p e n ˈ t e t i k
epenteză,e p e n ˈ t e z ə
epibat,e p i ˈ b a t
epic,ˈ e p i k
epicard,e p i ˈ k a r d
epicarp,e p i ˈ k a r p
epicen,e p i ˈ t͡ʃ e n
epicentru,e p i ˈ t͡ʃ e n t r u
epicheremă,e p i k e ˈ r e m ə
epicicloide,e p i t͡ʃ i k l o ˈ i d e
epicicloidă,e p i t͡ʃ i k l o ˈ i d ə
epiciclu,e p i ˈ t͡ʃ i k l u
epicitate,e p i t͡ʃ i ˈ t a t e
epicontinental,e p i k o n t i n e n ˈ t a l
epicotil,e p i k o ˈ t i l
epicureism,e p i k u r e ˈ i s m
epicurian,e p i k u r i ˈ a n
epicuriană,e p i k u r i ˈ a n ə
epicurism,e p i k u ˈ r i s m
epică,ˈ e p i k ə
epidemic,e p i ˈ d e m i k
epidemiolog,e p i d e m i o ˈ l o ɡ
epidemiologic,e p i d e m i o ˈ l o d ʒ i k
epidemiologie,e p i d e m i o l o ˈ d ʒ i e
